param_C,param_class_weight,mean_test_score,std_test_score,rank_test_score
0.01,,0.9684374707484809,0.0021653701619802064,10
0.01,balanced,0.9685019074417884,0.002071253417845152,9
0.1,,0.9772831017418955,0.0020201882019324196,8
0.1,balanced,0.9774932409935639,0.0022791408035393967,7
1.0,,0.9864360291754835,0.0021027752601149277,5
1.0,balanced,0.9864350931747907,0.0021025150902674993,6
5.0,,0.9870057647898399,0.0029099301838973884,2
5.0,balanced,0.9870762428073858,0.0029217902637560813,1
10.0,,0.9865767936422868,0.0027496172219196565,3
10.0,balanced,0.9865044003240259,0.003053594680210993,4
