param_C,param_class_weight,mean_test_score,std_test_score,rank_test_score
5.0,,0.991334054961032,0.000869923366787062,1
5.0,balanced,0.9912614283641261,0.0008160245329559292,2
1.0,balanced,0.9912276999363753,0.0006998643540224211,3
1.0,,0.9912276999363753,0.0006998643540224211,3
10.0,balanced,0.991188790634965,0.00069696555182071,5
10.0,,0.9911168274668494,0.0006729792171293075,6
20.0,balanced,0.9910808001508394,0.0006171112370598641,7
20.0,,0.9910803479432888,0.000703595607904094,8
0.1,balanced,0.9840456305461738,0.0015288419714169974,9
0.1,,0.9839742546349598,0.0014521623976295108,10
